planta,trat,doy,tallo_1,tallo_2,tallo_3,tallo_4,tallo_5,flores,hv,hm,tallo,h_t,pa,c,pac,r,ra,rsum
Trébol balansa,c,237,66.5,64.5,64,61.75,60.75,0.0689,2.27495,0.61515,4.8909,0.590913738,7.8499,0.50075,8.35065,2.4401,0,2.4401
Lotus tenuis,c,237,89.75,82.25,77,76.5,70.5,0,3.221,0.06365,6.2992,0.52143923,9.58385,0.55995,10.1438,1.23585,0,1.23585
Lotus tenuis,c,237,99.5,90,86.25,82.25,79.75,0,2.7159,0.0352,6.4449,0.426864653,9.196,0.4148,9.6108,1.21935,0,1.21935
Lotus tenuis,c,237,92.75,81.5,79.5,78,71.75,0,3.65375,0.00745,7.84955,0.466421642,11.51075,0.5872,12.09795,1.48095,0,1.48095
Lotus tenuis,c,237,77,69.25,68,68,64.5,0,3.25485,0.09505,5.62775,0.595246768,8.97765,0.52655,9.5042,1.40255,0,1.40255
Lotus tenuis,c,237,89.5,82.25,82,76,74.5,0,2.10475,0.05265,4.81365,0.448183811,6.97105,0.42575,7.3968,0.86055,0,0.86055
Lotus tenuis,c,237,86.75,83.25,78.75,76,73,0,3.49225,0.014,7.14365,0.490820519,10.6499,0.6034,11.2533,1.6226,0,1.6226
Lotus tenuis,c,237,89.5,82.5,82,77.5,75.5,0,2.0613,0.0569,4.7932,0.441917717,6.9114,0.2985,7.2099,0.7993,0,0.7993
Lotus tenuis,c,237,55,51.25,48.5,47.5,45.5,0,4.01395,0.0292,5.36425,0.753721396,9.4074,0.70545,10.11285,2.24165,0,2.24165
Lotus tenuis,c,237,75.25,68.5,65,63.5,61.75,0,2.2726,0.1087,5.0114,0.475176597,7.3927,0.39085,7.78355,1.13555,0,1.13555
Lotus tenuis,c,237,81.5,76.25,75.5,70.5,67,0,2.66855,0.0199,4.82735,0.556920464,7.5158,0.373,7.8888,1.05235,0,1.05235
Lotus tenuis,c,237,65.5,64.25,60.75,60.5,57,0,2.27115,0.01085,3.7918,0.601824991,6.0738,0.3981,6.4719,1.0982,0,1.0982
